Nlemma,overall,1_sg,1_sg_rel,1_pl,1_pl_rel,2_sg,2_sg_rel,2_pl,2_pl_rel,2Hon_sg,2Hon_sg_rel,2Hon_pl,2Hon_pl_rel,3Hon_sg,3Hon_sg_rel,3Hon_pl,3Hon_pl_rel
deutsch,393,0,0.0,382,0.10343893853235851,4,0.002285714285714286,7,0.035,0,0.0,0,0.0,0,0.0,0,0.0
Mensch,391,0,0.0,372,0.10073111291632819,15,0.008571428571428572,4,0.02,0,0.0,0,0.0,0,0.0,0,0.0
Kind,269,2,0.0061162079510703364,242,0.06552937990793394,19,0.010857142857142857,3,0.015,0,0.0,0,0.0,3,0.014563106796116505,0,0.0
Mann,150,17,0.05198776758409786,110,0.029786081776333604,12,0.006857142857142857,5,0.025,0,0.0,0,0.0,6,0.02912621359223301,0,0.0
Frau,141,8,0.024464831804281346,123,0.03330625507717303,3,0.0017142857142857142,7,0.035,0,0.0,0,0.0,0,0.0,0,0.0
heutig,78,0,0.0,78,0.021121039805036556,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nationalsozialist,73,0,0.0,73,0.019767126997021392,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sozialdemokrat,73,0,0.0,73,0.019767126997021392,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Junge,64,11,0.03363914373088685,41,0.011102085025724344,6,0.0034285714285714284,5,0.025,0,0.0,0,0.0,1,0.0048543689320388345,0,0.0
Hund,64,6,0.01834862385321101,1,0.00027078256160303275,54,0.030857142857142857,0,0.0,0,0.0,0,0.0,3,0.014563106796116505,0,0.0
Europäer,60,0,0.0,60,0.016246953696181964,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Schwein,51,1,0.0030581039755351682,1,0.00027078256160303275,41,0.023428571428571427,3,0.015,0,0.0,0,0.0,5,0.024271844660194174,0,0.0
Leute,51,0,0.0,42,0.011372867587327376,0,0.0,9,0.045,0,0.0,0,0.0,0,0.0,0,0.0
Soldat,48,0,0.0,44,0.011914432710533442,0,0.0,4,0.02,0,0.0,0,0.0,0,0.0,0,0.0
Mädchen,44,4,0.012232415902140673,34,0.009206607094503114,3,0.0017142857142857142,3,0.015,0,0.0,0,0.0,0,0.0,0,0.0
arm,44,7,0.021406727828746176,10,0.0027078256160303275,21,0.012,2,0.01,0,0.0,0,0.0,4,0.019417475728155338,0,0.0
Narr,43,9,0.027522935779816515,2,0.0005415651232060655,30,0.017142857142857144,0,0.0,0,0.0,0,0.0,2,0.009708737864077669,0,0.0
jung,40,0,0.0,40,0.01083130246412131,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Amerikaner,40,0,0.0,38,0.010289737340915246,0,0.0,2,0.01,0,0.0,0,0.0,0,0.0,0,0.0
Kommunist,39,0,0.0,36,0.00974817221770918,0,0.0,1,0.005,0,0.0,0,0.0,2,0.009708737864077669,0,0.0
alt,39,3,0.009174311926605505,32,0.008665041971297048,2,0.001142857142857143,2,0.01,0,0.0,0,0.0,0,0.0,0,0.0
erwachsen,36,0,0.0,36,0.00974817221770918,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Idiot,36,13,0.039755351681957186,1,0.00027078256160303275,15,0.008571428571428572,0,0.0,0,0.0,0,0.0,7,0.03398058252427184,0,0.0
Kerl,35,8,0.024464831804281346,2,0.0005415651232060655,15,0.008571428571428572,6,0.03,0,0.0,0,0.0,4,0.019417475728155338,0,0.0
Christ,34,0,0.0,32,0.008665041971297048,2,0.001142857142857143,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
